symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
ADRT,Ault Disruptive Technologies Corporation Common Stock,$11.49,0.07,0.613%,47385,165168750.00,,2022,Blank Checks,Finance,/market-activity/stocks/adrt
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$7.715,-0.275,-3.442%,100037,377109200.00,Ireland,,Industrial Specialties,Consumer Discretionary,/market-activity/stocks/adse
ADSEW,ADS-TEC ENERGY PLC Warrant,$0.925,0.075,8.824%,6317,45211375.00,Ireland,,Industrial Specialties,Consumer Discretionary,/market-activity/stocks/adsew
ADSK,Autodesk Inc. Common Stock,$215.92,7.32,3.509%,1933653,46147808390.00,United States,,Computer Software: Prepackaged Software,Technology,/market-activity/stocks/adsk
ADT,ADT Inc. Common Stock,$6.29,-0.15,-2.329%,1212047,5796761762.00,United States,2018,Diversified Commercial Services,Consumer Discretionary,/market-activity/stocks/adt
ADTH,AdTheorent Holding Company Inc. Common Stock,$1.35,-0.02,-1.46%,155294,119076661.00,United States,2021,Advertising,Consumer Discretionary,/market-activity/stocks/adth
ADTHW,AdTheorent Holding Company Inc. Warrants,$0.0659,0.00,0.00%,197,5812705.00,United States,2021,Advertising,Consumer Discretionary,/market-activity/stocks/adthw
ADTN,ADTRAN Holdings Inc. Common Stock,$8.06,-0.07,-0.861%,479771,634175542.00,United States,1994,Telecommunications Equipment,Utilities,/market-activity/stocks/adtn
ADTX,Aditxt Inc. Common Stock,$9.11,-0.75,-7.606%,156897,69333832.00,United States,2020,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adtx
ADUS,Addus HomeCare Corporation Common Stock,$89.37,0.78,0.88%,71526,1449103539.00,United States,2009,Medical/Nursing Services,Health Care,/market-activity/stocks/adus
ADV,Advantage Solutions Inc. Class A Common Stock,$2.67,0.01,0.376%,198619,866547026.00,United States,2019,Business Services,Consumer Discretionary,/market-activity/stocks/adv
ADVM,Adverum Biotechnologies Inc. Common Stock,$1.60,-0.02,-1.235%,281666,161588816.00,United States,2014,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/advm
ADVWW,Advantage Solutions Inc. Warrant,$0.2162,0.0362,20.111%,148990,70167591.00,United States,2019,Advertising,Consumer Discretionary,/market-activity/stocks/advww
ADX,Adams Diversified Equity Fund Inc.,$17.06,0.10,0.59%,129817,0.00,United States,,Investment Managers,Finance,/market-activity/stocks/adx
ADXN,Addex Therapeutics Ltd American Depositary Shares,$0.4923,0.0314,6.813%,95544,6328846.00,Switzerland,,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/adxn
AE,Adams Resources & Energy Inc. Common Stock,$37.00,-0.19,-0.511%,10879,93783345.00,United States,1980,Oil Refining/Marketing,Energy,/market-activity/stocks/ae
AEAE,AltEnergy Acquisition Corp. Class A Common Stock,$10.60,0.12,1.145%,3211,0.00,United States,2021,Blank Checks,Finance,/market-activity/stocks/aeae
AEAEW,AltEnergy Acquisition Corp. Warrant,$0.0656,-0.0114,-14.805%,800,0.00,United States,2021,Blank Checks,Finance,/market-activity/stocks/aeaew
AEE,Ameren Corporation Common Stock,$80.45,0.47,0.588%,1054419,21138200091.00,United States,,Power Generation,Utilities,/market-activity/stocks/aee
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.05,-0.02,-0.394%,16993,542180625.00,United States,,Finance/Investors Services,Finance,/market-activity/stocks/aef
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,$20.95,0.07,0.335%,28805,0.00,United States,2019,,,/market-activity/stocks/aefc
AEG,AEGON N.V. Common Stock,$5.11,0.04,0.789%,1338124,13570250439.00,Netherlands,,Life Insurance,Finance,/market-activity/stocks/aeg
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,$0.50,-0.048,-8.759%,1678290,8995000.00,China,,Building Materials,Industrials,/market-activity/stocks/aehl
AEHR,Aehr Test Systems Common Stock,$41.50,0.68,1.666%,646263,1176035674.00,United States,1997,Electrical Products,Industrials,/market-activity/stocks/aehr
AEI,Alset Inc. Common Stock (TX),$1.3102,-0.0398,-2.948%,16760,12099853.00,United States,2020,Building operators,Real Estate,/market-activity/stocks/aei
